timestamp,update,total_steps,mono_score,num_monosemantic,num_concepts,sparsity,active_percentage,hebbian_max_change,strengthened_count,sf_is_scale_free,sf_alpha,sf_r_squared,sf_hubs,top_feat,top_frame,analysis_time_s
2026-02-25T06:44:28.868021,1,100,0.34655195147679324,73591,17,0.8475652925331525,0.1524347074668475,0.00010098516941070557,104846,0,0.2617932222814361,0.00011592904687096617,14,,,102.687
2026-02-25T06:45:45.293094,2,200,0.3417015144665461,72561,17,0.8481531136980108,0.15184688630198917,0.00010676216334104538,104858,0,-0.1663908722093739,3.788068388743682e-05,13,,,74.286
2026-02-25T06:47:01.700970,3,300,0.3363613245931284,71427,17,0.8486611145644967,0.15133888543550333,0.00011711521074175835,104855,1,2.311835346538688,0.006854323394212547,13,,,74.928
2026-02-25T06:48:29.758443,4,400,0.3322078435804702,70545,17,0.8489726727320676,0.15102732726793244,0.00013283174484968185,104857,0,-1.1362963485531359,0.0017199739640773037,13,,,85.811
2026-02-25T06:50:10.930846,5,500,0.330206449668475,70120,17,0.8489197417495479,0.15108025825045213,0.00014566577738150954,104857,0,-1.2590942246788976,0.0024985976433722357,13,,,99.172
2026-02-25T06:51:35.589879,6,600,0.3285912070524412,69777,17,0.848802460066305,0.151197539933695,0.00016327574849128723,104856,0,-0.1799650033933502,4.090466006434479e-05,14,,,82.421
2026-02-25T06:52:47.417183,7,700,0.3273479882459313,69513,17,0.8486381338532248,0.15136186614677516,0.00017511844635009766,104852,1,1.4057816743575635,0.0029829791508679815,13,,,69.767
2026-02-25T06:54:15.997178,8,800,0.32593994876431587,69214,17,0.8483871590566606,0.15161284094333938,0.00018631876446306705,104857,1,1.1839818362002568,0.0024627729250943364,13,,,86.743
2026-02-25T06:55:32.445434,9,900,0.3246731841470766,68945,17,0.848010944092827,0.15198905590717304,0.00019287504255771637,104858,0,-0.23500508151739416,9.327674190429125e-05,13,,,74.309
2026-02-25T06:56:53.523659,10,1000,0.3224881329113924,68481,17,0.8477708945524413,0.15222910544755874,0.00018276646733283997,104852,1,1.2523156790684828,0.0026195289370022357,13,,,79.422
