Timestamp,Scenario,Controller,Throughput_Mbps,Avg_Delay_ms,PacketLoss_Ratio,p95_Delay_ms,Max_PacketLoss,Jains_Fairness,QoS_Violations,Total_Downtime_s,Congestion_Intensity,Satisfaction_Percent,Cell_Edge_Tput,Avg_SINR_dB,Avg_RSRP_dBm,Avg_HO_per_UE,Avg_Inference_ms,EnergyEfficiency_Mbps_W,Model_Params,HO_Success_Rate,Control_Stability,QoS_Score,Reliability_Score,Resource_Score,Buffer_Score,PHY_Score,Architecture_Score,Config_num_ues,Config_num_cells,Config_sim_time,Config_kpm_interval_ms,Config_system_bandwidth_mhz,Config_model_path,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Config_model_type
22-02-2026 6.57,spectrum_crunch,bdh,2.3249114540000004,69.60416785000001,0.886371954,76.2433425,0.9532521,0.472248015,321,32.1,0.0,65.0,0.0,7.114385895,-113.6270176,0.0,36.86211306,18.32159994,6414355,1.0,86.95652173913044,64.80211862091687,69.00296041757116,18.230952283017487,69.78938785144267,41.7456227398785,0.0,20,3,60.0,100,10.0,bdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.15,mobility_storm,gpt2,1.576812522,40.46916397,0.137714441,65.48692225,0.40681275,0.764301358,369,24.0,0.0,85.0,0.0,13.68126651,-123.7180767,0.0,36.80323559,112.346583,3217939,1.0,56.52763,71.5091436263937,89.76847202191999,29.384048325697623,95.3191763342668,42.60326311735159,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.15,handover_ping_pong,gpt2,2.086905813,41.02994726,0.143902164,62.768558,0.40751015,0.787243311,468,21.2,0.0,85.0,0.0,20.1071227,-120.5519407,0.0,38.58107199,144.0740812,3217939,1.0,55.3426,74.27995820454987,90.13072369919796,32.245787999406794,95.10817029126687,53.567442048735096,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.17,flash_crowd,gpt2,1.151819998,70.99688101,0.333041538,136.755684,0.92810895,0.561661638,594,52.2,0.0,30.0,0.0,4.235369971,-120.7202718,11.4,44.86758947,68.99101292,3217939,0.0,62.68125,43.260458241940114,49.23893699873558,20.34948263736953,88.65837431894786,32.42728892841477,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.17,traffic_burst,gpt2,1.550175757,82.67670584,0.527764961,155.083106,0.9468288,0.592920895,578,48.1,0.0,60.0,0.0,6.795614079,-121.4361233,8.5,41.67750041,121.5167885,3217939,0.0,61.38694,53.71966072220043,47.82735849020404,23.919090643115084,82.01815804445826,35.26048216382779,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.20,adversarial,gpt2,2.007333435,44.40114329,0.182515665,86.505922,0.90607675,0.705259814,499,20.1,0.0,75.0,0.0,14.80337719,-122.7282677,8.95,48.61251593,339.1840284,3217939,0.0,67.99075,68.84443595229683,59.64326013173173,35.61238245298604,93.79142064808082,44.85711435252158,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.20,sleepy_campus,gpt2,1.220376322,91.15672193,0.440140508,167.5956613,0.95681815,0.566539375,583,52.5,0.0,35.0,0.0,5.060256243,-120.5311467,14.3,50.50457954,153.0697677,3217939,0.0,69.51802,41.7024389402707,44.92654044796838,23.3559135834736,85.00621828851966,33.66603318744977,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.20,ambulance,gpt2,1.700526835,40.06794059,0.149120531,66.77629325,0.39121695,0.731272874,516,15.5,0.0,80.0,0.022261667,14.72130968,-122.405193,1.9,40.44569135,117.8855879,3217939,0.0,56.680317,70.39469859363967,69.91743415356906,29.140273412525836,94.93022002238904,44.99932465140317,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.21,commuter_rush,gpt2,1.086860903,46.67845625,0.072961773,77.53945725,0.5128988,0.915760069,229,8.5,0.0,70.0,0.420255813,9.124363721,-126.8495307,0.0,40.5758072,122.1742115,3217939,1.0,58.112083,62.41174256050881,92.9102469462768,41.54794344129422,97.52729137890744,34.13994783674631,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-02-2026 4.21,iot_tsunami,gpt2,0.168942105,107.2659861,0.07708663,244.5268545,0.2781151,0.307877873,11,0.1,0.0,5.0,0.0,-2.667397838,-124.8481871,0.0,19.62075233,0.472214871,3217939,1.0,59.456963,20.170310546323112,96.21440213065736,7.624255530166698,97.38663062962848,20.085072424568573,0.0,20,3,60.0,100,10.0,gpt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
